Date,Price,Open,High,Low,Vol.,Change
09/16/2025,3727.55,3716.35,3739.47,3711.9,188.17K,0.31%
09/15/2025,3716.05,3680.2,3724.9,3662.8,5.25K,1.11%
09/14/2025,3675.1,3682.3,3684.17,3673.7,4.88K,-0.31%
09/12/2025,3686.4,3672.8,3695.5,3667.3,154.56K,0.35%
09/11/2025,3673.6,3680.6,3687.5,3651,214.61K,-0.23%
09/10/2025,3682,3662,3697.5,3651.4,182.03K,-0.01%
09/09/2025,3682.2,3676.6,3715.2,3663.7,262.66K,0.13%
09/08/2025,3677.4,3635,3685.7,3621.7,227.64K,0.66%
09/05/2025,3653.3,3602,3655.5,3595.4,237.65K,1.29%
09/04/2025,3606.7,3619.8,3621.6,3573.7,232.58K,-0.79%
09/03/2025,3635.5,3600,3640.1,3592.4,220.79K,1.21%
09/02/2025,3592.2,3517.9,3602.4,3506,374.14K,1.14%
09/01/2025,3551.82,3511.17,3556.87,3506.05,127.09K,1.13%
08/31/2025,3512,3517.65,3517.65,3509.7,,-0.12%
08/29/2025,3516.1,3477.2,3518.5,3463,188.55K,1.20%
08/28/2025,3474.3,3452.6,3478.7,3442.5,156.60K,1.12%
08/27/2025,3435.7,3428.1,3436,3410.7,0.09K,0.46%
08/26/2025,3420.1,3398.1,3427,3398.1,0.15K,0.45%
08/25/2025,3404.9,3399.7,3407.2,3395,0.09K,-0.40%
08/22/2025,3418.5,3383.3,3423.4,3362.8,186.04K,1.09%
08/21/2025,3381.6,3392.2,3394.4,3367.4,123.50K,-0.20%
08/20/2025,3388.5,3359,3394.3,3353.4,135.52K,0.89%
08/19/2025,3358.7,3378.3,3389.7,3358.1,133.50K,-0.57%
08/18/2025,3378,3382.4,3403.6,3368,119.14K,-0.14%
08/15/2025,3382.6,3383.2,3394.8,3377.7,118.49K,-0.02%
08/14/2025,3383.2,3407.2,3423.8,3375.5,165.70K,-0.74%
08/13/2025,3408.3,3399.6,3422.6,3392.7,135.85K,0.27%
08/12/2025,3399,3393.6,3410.8,3379.1,193.82K,-0.17%
08/11/2025,3404.7,3458.1,3466.3,3393,224.51K,-2.48%
08/08/2025,3491.3,3487.9,3534.1,3445,321.35K,1.09%
08/07/2025,3453.7,3431.8,3483.8,3430,249.09K,0.59%
08/06/2025,3433.4,3434.9,3440.5,3411.7,151.58K,-0.04%
08/05/2025,3434.7,3428.9,3444.9,3403.3,154.16K,0.24%
08/04/2025,3426.4,3416.6,3439.5,3397.9,138.23K,0.78%
08/01/2025,3399.8,3342.7,3416.9,3331.4,229.95K,1.53%
07/31/2025,3348.6,3327.5,3366.7,3324.4,158.03K,-0.13%
07/30/2025,3352.8,3383.1,3389.3,3319.2,203.09K,-0.46%
07/29/2025,3368.3,3366.1,3368.8,3362.4,0.11K,0.43%
07/28/2025,3354,3373.6,3381.8,3346.7,0.21K,-1.13%
07/25/2025,3392.5,3429.2,3434.3,3382.3,55.80K,-1.13%
07/24/2025,3431.1,3455.9,3458.1,3411.3,61.91K,-0.69%
07/23/2025,3455.1,3502.8,3509,3448.7,68.68K,-1.33%
07/22/2025,3501.8,3468.7,3505.8,3451.7,55.30K,1.12%
07/21/2025,3462.9,3415,3473.2,3407.4,39.03K,3.11%
07/18/2025,3358.3,3347.5,3368,3337.2,115.41K,0.39%
07/17/2025,3345.3,3354.7,3358.2,3314.3,161.74K,-0.41%
07/16/2025,3359.1,3330.5,3385.8,3326.1,235.16K,0.67%
07/15/2025,3336.7,3352,3375.4,3327.3,179.88K,-0.67%
07/14/2025,3359.1,3376.5,3389.3,3348.5,195.34K,-0.15%
07/11/2025,3364,3333.1,3381.6,3332.3,216.88K,1.15%
07/10/2025,3325.7,3322.2,3339.4,3319.2,168.19K,0.14%
07/09/2025,3321,3310.6,3325.6,3290.2,167.97K,0.12%
07/08/2025,3316.9,3348.9,3355.6,3295.4,218.03K,-0.77%
07/07/2025,3342.8,3344.5,3352.9,3304.4,235.76K,-0.11%
07/04/2025,3346.5,3335.9,3354.97,3335.47,59.92K,0.11%
07/03/2025,3342.9,3369,3376.9,3321.4,153.23K,-0.50%
07/02/2025,3359.7,3350,3371,3337.2,132.19K,0.30%
07/01/2025,3349.8,3315.7,3370.5,3313.7,168.85K,1.27%
06/30/2025,3307.7,3284.3,3321.6,3250.5,144.20K,0.61%
06/27/2025,3287.6,3341.3,3341.4,3266.5,218.87K,-1.39%
06/26/2025,3333.9,3333.6,3349,3309.2,2.06K,0.15%
06/25/2025,3329,3322.9,3335.6,3312,0.94K,0.27%
06/24/2025,3320,3361.2,3361.2,3296.4,2.45K,-1.79%
06/23/2025,3380.6,3387,3395.7,3348.3,3.29K,-0.15%
06/20/2025,3385.7,3387.1,3405.2,3356.2,280.83K,0.02%
06/19/2025,3384.97,3391.81,3404.95,3363.81,136.01K,-0.68%
06/18/2025,3408.1,3409,3419,3380.1,178.28K,0.04%
06/17/2025,3406.9,3404.2,3422.7,3384.4,209.08K,-0.30%
06/16/2025,3417.3,3473,3476.3,3400.9,192.51K,-1.03%
06/13/2025,3452.8,3406.7,3468,3399.6,270.63K,1.48%
06/12/2025,3402.4,3377.5,3419.8,3358.5,230.17K,1.76%
06/11/2025,3343.7,3344.3,3382.3,3335.4,201.53K,0.01%
06/10/2025,3343.4,3346.3,3370.4,3321.3,158.90K,-0.34%
06/09/2025,3354.9,3333.4,3359,3313.1,142.01K,0.25%
06/06/2025,3346.6,3377.4,3398.3,3328.8,185.37K,-0.84%
06/05/2025,3375.1,3398,3427.7,3362.3,224.86K,-0.71%
06/04/2025,3399.2,3377.8,3409.7,3366.9,167.22K,0.65%
06/03/2025,3377.1,3406.5,3417.8,3357.2,168.22K,-0.59%
06/02/2025,3397.2,3323,3408.1,3319.4,181.00K,2.47%
05/30/2025,3315.4,3343.2,3347,3294.8,184.77K,-0.85%
05/29/2025,3343.9,3311.8,3356.3,3269.1,227.94K,1.08%
05/28/2025,3308.3,3317.3,3337.5,3287.9,2.76K,-0.16%
05/27/2025,3313.7,3369.6,3369.6,3297.9,4.19K,-1.80%
05/26/2025,3374.47,3370.17,3384,3352.5,29.79K,0.12%
05/25/2025,3370.27,3384,3384.12,3367.94,65.79K,-0.71%
05/23/2025,3394.5,3323.2,3395.3,3314.4,71.08K,2.13%
05/22/2025,3323.6,3346.5,3375.3,3306.9,52.14K,-0.55%
05/21/2025,3341.9,3321.2,3355.5,3315.3,50.60K,0.88%
05/20/2025,3312.6,3260.7,3326.4,3235.3,30.44K,1.57%
05/19/2025,3261.4,3246,3280,3236.2,21.05K,2.33%
05/16/2025,3187.2,3243.5,3255.8,3156.4,245.49K,-1.22%
05/15/2025,3226.6,3180.8,3244.3,3123.3,253.06K,1.20%
05/14/2025,3188.3,3254.1,3261.3,3170.7,233.93K,-1.83%
05/13/2025,3247.8,3240.7,3270.4,3220.1,214.42K,0.61%
05/12/2025,3228,3281,3295.5,3211.2,308.53K,-3.47%
05/09/2025,3344,3310.2,3352.7,3278.9,232.46K,1.15%
05/08/2025,3306,3373.1,3422,3293.3,327.13K,-2.53%
05/07/2025,3391.9,3448.1,3448.2,3367,304.24K,-0.90%
